,Date,Event Type,Actor 1,Actor 1 Ally,Actor 1 Type,Actor 2,Actor 2 Ally,Actor 2 Type,Interaction Type,Country,Location,Latitude,Longitude,Source,Notes,Fatalities
8764,2017-01-03,Violence against civilians,Vigilante Militia (South Africa),,Ethnic militia,Civilians (South Africa),,Civilians,Communal militia versus civilians,South Africa,Gugulethu,-33.98333,18.566670000000002,Cape Times,A suspected thief was subjected to the as the victim of a mob attack  in Kanana informal settlement in Gugulethu. He was killed in the attack.,1
8765,2017-01-04,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,King Williams Town,-32.880309999999994,27.394540000000003,Daily Dispatch (South Africa),Residents of Schornville outside King William's Town marched to the town's magistrate's court to oppose bail in a rape case.,0
8766,2017-01-04,Violence against civilians,Vigilante Militia (South Africa),,Ethnic militia,Civilians (South Africa),,Civilians,Communal militia versus civilians,South Africa,Seweding,-25.87075,25.59445,Cape Times (South Africa),Community member allegedly assautled a man in Seweding near Mahikeng. The man died of his injuries.,1
8767,2017-01-06,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Khayelitsha,-34.039320000000004,18.67916,News24,Paramedics protested outside the Khayelitsha Magistrates's court over the string of attacks they have been the target of.,0
8768,2017-01-06,Violence against civilians,Police Forces of South Africa (1994-),,Government or mutinous force,Civilians (Democratic Republic of Congo),,Civilians,Military versus civilians,South Africa,Upington,-28.44776,21.256120000000003,Groundup,Police arrested a Congolese man on his way home from a party. He was beaten to death in police custody. ,1
8769,2017-01-06,Violence against civilians,Vigilante Militia (South Africa),,Ethnic militia,Civilians (South Africa),,Civilians,Communal militia versus civilians,South Africa,Westenburg,-23.90468,29.430059999999997,News24,A mob killed a suspected criminal in Wesernburg outside Polokwane.,1
8770,2017-01-07,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Kuruman,-27.4524,23.43246,Northern Cape Express,A riotous mob went on the rampage attacking and looting tuckshops owned by foreigners in Kuruman.,0
8771,2017-01-10,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Mamelodi,-25.71301,28.365340000000003,African News Agency,More than 100 parents from Mamelodi in Pretoria East burned tyres on Tsamaya road to display their frustrations over the new online registration system.,0
8772,2017-01-10,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Mkhuhlu,-24.98776,31.2385,News24,"Residents protested and blocked the R536 in Bushbuckridge with boulders and branches, saying promises of jobs have gone unfulfilled.",0
8773,2017-01-11,Riots/Protests,Rioters (South Africa),ANC: African National Congress,Rioters,Rioters (South Africa),ANC: African National Congress,Rioters,Rioters versus rioters,South Africa,Butterworth,-32.33333,28.15,Daily Dispatch (South Africa),"Shots were fired, people injured and insults hurled as Mnquma municipality's power struggle turned violent as ANC factions clashing over a council decision to end with immediate effect Sindile Tantsi's municipal manager contract. A brawl broke out and the groups pelted one another with stones until shots were fired from the municipal buildings.",0
8774,2017-01-11,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Carletonville,-26.35806,27.398059999999997,Fin24,Mine workers staged a sit-in protest inside a mine at the Kusasalethu mine in the West Rand.,0
8775,2017-01-11,Riots/Protests,Rioters (South Africa),,Rioters,Police Forces of South Africa (1994-),,Government or mutinous force,Military versus rioters,South Africa,Kenton-on-Sea,-33.68074,26.669159999999998,Daily Dispatch (South Africa),Anti-Riot police fought sporadic battles with protesters who threw rocks at passing cars and burned barricades on the busy R72 coastal road between Nelson Mandela Bay and Buffalo City metros at Kenton-on-Sea.,0
8776,2017-01-11,Riots/Protests,Protesters (South Africa),ANC: African National Congress,Protesters,,,NA,Sole protester action,South Africa,Roodepoort,-26.1625,27.8725,The Star (South Africa),ANC supporters protested outside the Roodepoort Magistrate's Court urging the court not to grant a suspected murderer bail.,0
8777,2017-01-11,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Tshitale,-23.351999999999997,29.993000000000002,News24,"Schooling has been disrupted by protesting residents, unhappy with the state of roads in the Tshitale area in Makhado, Limpopo. Three government vehicles and a building were torched during the protest.",0
8778,2017-01-12,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Butterworth,-32.33333,28.15,Daily Dispatch (South Africa),A group of about 200 people camped outside the municipal offices in Butterworth demanding the removal of municipal manager Sandile Tantsi.,0
8779,2017-01-12,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Tshitale,-23.351999999999997,29.993000000000002,News24,Protesting residents continued to protest over the completion of road in the Tshitale area. There was no reports of violence on the second day of the protest.,0
8780,2017-01-13,Violence against civilians,Vigilante Militia (South Africa),,Ethnic militia,Civilians (South Africa),,Civilians,Communal militia versus civilians,South Africa,Ga-Moeka,-25.3352,28.0588,News24,"A man was burnt to death by a mob after he was accused of raping two girls in Moeka, north of Pretoria.",1
8781,2017-01-13,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Simons Town,-34.19358,18.43477,Sowetan (South Africa),"At least 60 people wearing T-shirts with images of a baby, who was killed, protested against bail for two murder accused at Simon's Town Magistrate's court.",0
8782,2017-01-13,Violence against civilians,ANC: African National Congress,,Political militia,Civilians (South Africa),DA: Democratic Alliance,Civilians,Political militia versus civilians,South Africa,Uniondale,-33.65895,23.123170000000002,Democratic Alliance (Cape Town),"ANC members assaulted the DA Candidate for ward 25, Marchell Kleynhans in Uniondale, Western Cape.",0
8783,2017-01-16,Riots/Protests,Rioters (South Africa),"Students (South Africa); NEHAWU: National Education, Health and Allied Workers' Union; SASSU: South African Social Services Union",Rioters,,,NA,Sole rioter action,South Africa,Alexandra,-26.116670000000003,28.1,News24,Central Johannesburg TVET College students and members of trade union Nehawu protested in Alexandra. Students had barricaded London Road and 13th Avenue with burning tyres and garbage. ,0
8784,2017-01-16,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Ga-Rankuwa,-25.61692,27.994709999999998,African News Agency,Residents in Ga-Rankuwa took to the streets in protest. Several roads were barricaded with burning tyres and large boulders. School children in the area could not attend classes.,0
8785,2017-01-16,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Kimberley,-28.73333,24.76667,Diamond Fields Advertiser,"Over a two day period, parents, who support the newly appointed principal atg a school in Kimberly, Northern Cape, gathered in front the school in protest over a court interdict has halted the appointment of a school principal.",0
8786,2017-01-16,Riots/Protests,Rioters (South Africa),,Rioters,,,NA,Sole rioter action,South Africa,Tshitale,-23.351999999999997,29.993000000000002,News24,"A school and post office were set alight during violent protest action in Tshitale, Limpopo over education.",0
8787,2017-01-17,Riots/Protests,Protesters (South Africa),,Protesters,,,NA,Sole protester action,South Africa,Ga-Rankuwa,-25.61692,27.994709999999998,Pretoria News (South Africa),"Blind employees of Are-Itireleng Trust in Ga-Rankuwa took to the streets, accusing their managers of denying them access to money, company cars and office space.",0
